OMRÅDE;TID;INDHOLD
Hele landet;2007;43098,31
Hele landet;2008;43098,31
Hele landet;2009;43098,31
Hele landet;2010;43098,31
Hele landet;2011;42890,60
Hele landet;2012;42892,40
Hele landet;2013;42915,70
Hele landet;2014;42921,60
Hele landet;2015;42923,53
Hele landet;2016;42925,46
Hele landet;2017;42931,00
Hele landet;2018;42934,10
Hele landet;2019;42937,80
Hele landet;2020;42943,90
Hele landet;2021;42947,00
Hele landet;2022;42951,10
Hele landet;2023;42952,00
Hele landet;2024;42954,20
Hele landet;2025;42955,60
Hele landet;2026;42956,70
Region Hovedstaden;2007;2561,27
Region Hovedstaden;2008;2561,27
Region Hovedstaden;2009;2561,27
Region Hovedstaden;2010;2561,27
Region Hovedstaden;2011;2546,20
Region Hovedstaden;2012;2546,70
Region Hovedstaden;2013;2549,10
Region Hovedstaden;2014;2558,90
Region Hovedstaden;2015;2558,96
Region Hovedstaden;2016;2559,16
Region Hovedstaden;2017;2559,15
Region Hovedstaden;2018;2559,40
Region Hovedstaden;2019;2559,40
Region Hovedstaden;2020;2562,80
Region Hovedstaden;2021;2563,10
Region Hovedstaden;2022;2563,10
Region Hovedstaden;2023;2563,10
Region Hovedstaden;2024;2563,90
Region Hovedstaden;2025;2563,90
Region Hovedstaden;2026;2564,00
København;2007;88,25
København;2008;88,25
København;2009;88,25
København;2010;88,25
København;2011;74,40
København;2012;74,80
København;2013;77,20
København;2014;86,20
København;2015;86,22
København;2016;86,40
København;2017;86,39
København;2018;86,60
København;2019;86,70
København;2020;90,10
København;2021;90,10
København;2022;90,10
København;2023;90,10
København;2024;90,90
København;2025;90,90
København;2026;90,90
Frederiksberg;2007;8,77
Frederiksberg;2008;8,77
Frederiksberg;2009;8,77
Frederiksberg;2010;8,77
Frederiksberg;2011;8,00
Frederiksberg;2012;8,00
Frederiksberg;2013;8,00
Frederiksberg;2014;8,70
Frederiksberg;2015;8,71
Frederiksberg;2016;8,71
Frederiksberg;2017;8,71
Frederiksberg;2018;8,70
Frederiksberg;2019;8,70
Frederiksberg;2020;8,70
Frederiksberg;2021;8,70
Frederiksberg;2022;8,70
Frederiksberg;2023;8,70
Frederiksberg;2024;8,70
Frederiksberg;2025;8,70
Frederiksberg;2026;8,70
Dragør;2007;18,14
Dragør;2008;18,14
Dragør;2009;18,14
Dragør;2010;18,14
Dragør;2011;18,30
Dragør;2012;18,30
Dragør;2013;18,30
Dragør;2014;18,30
Dragør;2015;18,26
Dragør;2016;18,26
Dragør;2017;18,26
Dragør;2018;18,30
Dragør;2019;18,30
Dragør;2020;18,30
Dragør;2021;18,30
Dragør;2022;18,30
Dragør;2023;18,30
Dragør;2024;18,30
Dragør;2025;18,30
Dragør;2026;18,30
Tårnby;2007;64,95
Tårnby;2008;64,95
Tårnby;2009;64,95
Tårnby;2010;64,95
Tårnby;2011;66,30
Tårnby;2012;66,10
Tårnby;2013;66,10
Tårnby;2014;66,10
Tårnby;2015;66,10
Tårnby;2016;66,10
Tårnby;2017;66,10
Tårnby;2018;66,10
Tårnby;2019;66,10
Tårnby;2020;66,10
Tårnby;2021;66,10
Tårnby;2022;66,10
Tårnby;2023;66,10
Tårnby;2024;66,10
Tårnby;2025;66,10
Tårnby;2026;66,10
Albertslund;2007;23,04
Albertslund;2008;23,04
Albertslund;2009;23,04
Albertslund;2010;23,04
Albertslund;2011;23,20
Albertslund;2012;23,20
Albertslund;2013;23,20
Albertslund;2014;23,20
Albertslund;2015;23,19
Albertslund;2016;23,19
Albertslund;2017;23,19
Albertslund;2018;23,20
Albertslund;2019;23,40
Albertslund;2020;23,40
Albertslund;2021;23,40
Albertslund;2022;23,40
Albertslund;2023;23,40
Albertslund;2024;23,40
Albertslund;2025;23,40
Albertslund;2026;23,40
Ballerup;2007;34,09
Ballerup;2008;34,09
Ballerup;2009;34,09
Ballerup;2010;34,09
Ballerup;2011;34,00
Ballerup;2012;34,00
Ballerup;2013;34,00
Ballerup;2014;34,00
