FONDSTYPE;HOMR;TID;INDHOLD
Alle fonde;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2022;667
Alle fonde;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2023;676
Alle fonde;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2024;200
Alle fonde;Øvrige forbyggende formål af klimaforandringer;2022;118
Alle fonde;Øvrige forbyggende formål af klimaforandringer;2023;171
Alle fonde;Øvrige forbyggende formål af klimaforandringer;2024;521
Alle fonde;Klimatilpasning;2022;107
Alle fonde;Klimatilpasning;2023;91
Alle fonde;Klimatilpasning;2024;57
Alle fonde;Affaldshåndtering;2022;18
Alle fonde;Affaldshåndtering;2023;19
Alle fonde;Affaldshåndtering;2024;73
Alle fonde;Beskyttelse af vandressourcer;2022;136
Alle fonde;Beskyttelse af vandressourcer;2023;170
Alle fonde;Beskyttelse af vandressourcer;2024;3
Alle fonde;Naturbeskyttelse;2022;966
Alle fonde;Naturbeskyttelse;2023;1226
Alle fonde;Naturbeskyttelse;2024;899
Alle fonde;Andre formål;2022;151
Alle fonde;Andre formål;2023;178
Alle fonde;Andre formål;2024;2318
Erhvervsdrivende fonde;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2022;580
Erhvervsdrivende fonde;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2023;381
Erhvervsdrivende fonde;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2024;113
Erhvervsdrivende fonde;Øvrige forbyggende formål af klimaforandringer;2022;5
Erhvervsdrivende fonde;Øvrige forbyggende formål af klimaforandringer;2023;14
Erhvervsdrivende fonde;Øvrige forbyggende formål af klimaforandringer;2024;291
Erhvervsdrivende fonde;Klimatilpasning;2022;17
Erhvervsdrivende fonde;Klimatilpasning;2023;12
Erhvervsdrivende fonde;Klimatilpasning;2024;41
Erhvervsdrivende fonde;Affaldshåndtering;2022;12
Erhvervsdrivende fonde;Affaldshåndtering;2023;16
Erhvervsdrivende fonde;Affaldshåndtering;2024;21
Erhvervsdrivende fonde;Beskyttelse af vandressourcer;2022;95
Erhvervsdrivende fonde;Beskyttelse af vandressourcer;2023;166
Erhvervsdrivende fonde;Beskyttelse af vandressourcer;2024;3
Erhvervsdrivende fonde;Naturbeskyttelse;2022;735
Erhvervsdrivende fonde;Naturbeskyttelse;2023;1127
Erhvervsdrivende fonde;Naturbeskyttelse;2024;821
Erhvervsdrivende fonde;Andre formål;2022;121
Erhvervsdrivende fonde;Andre formål;2023;177
Erhvervsdrivende fonde;Andre formål;2024;2264
Almene fonde og fondslignende foreninger;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2022;87
Almene fonde og fondslignende foreninger;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2023;295
Almene fonde og fondslignende foreninger;Forebyggelse af klimaforandringer i form af CO2 reducerende formål;2024;87
Almene fonde og fondslignende foreninger;Øvrige forbyggende formål af klimaforandringer;2022;113
Almene fonde og fondslignende foreninger;Øvrige forbyggende formål af klimaforandringer;2023;157
Almene fonde og fondslignende foreninger;Øvrige forbyggende formål af klimaforandringer;2024;230
Almene fonde og fondslignende foreninger;Klimatilpasning;2022;89
Almene fonde og fondslignende foreninger;Klimatilpasning;2023;79
Almene fonde og fondslignende foreninger;Klimatilpasning;2024;16
Almene fonde og fondslignende foreninger;Affaldshåndtering;2022;6
Almene fonde og fondslignende foreninger;Affaldshåndtering;2023;3
Almene fonde og fondslignende foreninger;Affaldshåndtering;2024;52
Almene fonde og fondslignende foreninger;Beskyttelse af vandressourcer;2022;41
Almene fonde og fondslignende foreninger;Beskyttelse af vandressourcer;2023;3
Almene fonde og fondslignende foreninger;Beskyttelse af vandressourcer;2024;0
Almene fonde og fondslignende foreninger;Naturbeskyttelse;2022;231
Almene fonde og fondslignende foreninger;Naturbeskyttelse;2023;99
Almene fonde og fondslignende foreninger;Naturbeskyttelse;2024;78
Almene fonde og fondslignende foreninger;Andre formål;2022;30
Almene fonde og fondslignende foreninger;Andre formål;2023;1
Almene fonde og fondslignende foreninger;Andre formål;2024;54
