OMRÅDE;BEVOKSNING;TID;INDHOLD
Hele landet;Skovareal i alt;1990;445390,7
Hele landet;Skovareal i alt;2000;486234,6
Hele landet;Hjælpearealer;1990;28301,6
Hele landet;Hjælpearealer;2000;12914,6
Hele landet;Skovbevokset areal i alt;1990;417089,1
Hele landet;Skovbevokset areal i alt;2000;473320,0
Hele landet;Midlertidig ubevokset;1990;5702,0
Hele landet;Midlertidig ubevokset;2000;4985,0
Hele landet;Løvtræer, areal i alt;1990;143252,5
Hele landet;Løvtræer, areal i alt;2000;174385,1
Hele landet;Bøg;1990;71763,6
Hele landet;Bøg;2000;79551,7
Hele landet;Eg;1990;30247,2
Hele landet;Eg;2000;43011,0
Hele landet;Ask;1990;10158,0
Hele landet;Ask;2000;12681,1
Hele landet;Ær (Ahorn);1990;7978,7
Hele landet;Ær (Ahorn);2000;9443,8
Hele landet;Andre løvtræarter;1990;23105,0
Hele landet;Andre løvtræarter;2000;29697,5
Hele landet;Nåletræer i alt;1990;268134,6
Hele landet;Nåletræer i alt;2000;293949,9
Hele landet;Rødgran;1990;135009,9
Hele landet;Rødgran;2000;132236,9
Hele landet;Sitkagran mv.;1990;35464,2
Hele landet;Sitkagran mv.;2000;34223,1
Hele landet;Nobilis;1990;7001,2
Hele landet;Nobilis;2000;11918,6
Hele landet;Nordmannsgran;1990;11841,0
Hele landet;Nordmannsgran;2000;28172,5
Hele landet;Andre ædelgranarter;1990;15115,3
Hele landet;Andre ædelgranarter;2000;15497,9
Hele landet;Andre nåletræarter;1990;63703,0
Hele landet;Andre nåletræarter;2000;71900,9
København og Frederiksberg;Skovareal i alt;1990;110,2
København og Frederiksberg;Skovareal i alt;2000;108,2
København og Frederiksberg;Hjælpearealer;1990;5,7
København og Frederiksberg;Hjælpearealer;2000;29,0
København og Frederiksberg;Skovbevokset areal i alt;1990;104,5
København og Frederiksberg;Skovbevokset areal i alt;2000;79,2
København og Frederiksberg;Midlertidig ubevokset;1990;8,9
København og Frederiksberg;Midlertidig ubevokset;2000;0,0
København og Frederiksberg;Løvtræer, areal i alt;1990;91,9
København og Frederiksberg;Løvtræer, areal i alt;2000;79,2
København og Frederiksberg;Bøg;1990;0,0
København og Frederiksberg;Bøg;2000;0,0
København og Frederiksberg;Eg;1990;0,0
København og Frederiksberg;Eg;2000;0,0
København og Frederiksberg;Ask;1990;0,0
København og Frederiksberg;Ask;2000;0,0
København og Frederiksberg;Ær (Ahorn);1990;0,0
København og Frederiksberg;Ær (Ahorn);2000;0,0
København og Frederiksberg;Andre løvtræarter;1990;91,9
København og Frederiksberg;Andre løvtræarter;2000;79,2
København og Frederiksberg;Nåletræer i alt;1990;3,7
København og Frederiksberg;Nåletræer i alt;2000;0,0
København og Frederiksberg;Rødgran;1990;3,3
København og Frederiksberg;Rødgran;2000;0,0
København og Frederiksberg;Sitkagran mv.;1990;0,0
København og Frederiksberg;Sitkagran mv.;2000;0,0
København og Frederiksberg;Nobilis;1990;0,0
København og Frederiksberg;Nobilis;2000;0,0
København og Frederiksberg;Nordmannsgran;1990;0,0
København og Frederiksberg;Nordmannsgran;2000;0,0
København og Frederiksberg;Andre ædelgranarter;1990;0,0
København og Frederiksberg;Andre ædelgranarter;2000;0,0
København og Frederiksberg;Andre nåletræarter;1990;0,4
