TILSKUDSART;TID;INDHOLD
TILSKUD I ALT;2021;6871
TILSKUD I ALT;2022;6873
TILSKUD I ALT;2023;6716
TILSKUD I ALT;2024;7637
Direkte støtte i alt (1+2+3);2021;5777
Direkte støtte i alt (1+2+3);2022;5954
Direkte støtte i alt (1+2+3);2023;5641
Direkte støtte i alt (1+2+3);2024;6411
1 Basisindkomststøtte og grøn støtte;2021;5406
1 Basisindkomststøtte og grøn støtte;2022;5482
1 Basisindkomststøtte og grøn støtte;2023;4849
1 Basisindkomststøtte og grøn støtte;2024;5090
2 Bio-ordninger i alt;2021;..
2 Bio-ordninger i alt;2022;..
2 Bio-ordninger i alt;2023;425
2 Bio-ordninger i alt;2024;877
2.1 Biodiversitet og bæredygtighed;2021;..
2.1 Biodiversitet og bæredygtighed;2022;..
2.1 Biodiversitet og bæredygtighed;2023;54
2.1 Biodiversitet og bæredygtighed;2024;225
2.2 Klima og miljøvenligt græs;2021;..
2.2 Klima og miljøvenligt græs;2022;..
2.2 Klima og miljøvenligt græs;2023;235
2.2 Klima og miljøvenligt græs;2024;347
2.3 Ekstensivering med slæt;2021;..
2.3 Ekstensivering med slæt;2022;..
2.3 Ekstensivering med slæt;2023;18
2.3 Ekstensivering med slæt;2024;43
2.4 Varieret planteproduktion;2021;..
2.4 Varieret planteproduktion;2022;..
2.4 Varieret planteproduktion;2023;76
2.4 Varieret planteproduktion;2024;116
2.5 Økologisk arealstøtte;2021;..
2.5 Økologisk arealstøtte;2022;..
2.5 Økologisk arealstøtte;2023;42
2.5 Økologisk arealstøtte;2024;146
3 Anden direkte støtte i alt;2021;371
3 Anden direkte støtte i alt;2022;472
3 Anden direkte støtte i alt;2023;367
3 Anden direkte støtte i alt;2024;443
3.1 Koblet støtte;2021;240
3.1 Koblet støtte;2022;245
3.1 Koblet støtte;2023;265
3.1 Koblet støtte;2024;345
3.2 Unge landbrugere;2021;111
3.2 Unge landbrugere;2022;105
3.2 Unge landbrugere;2023;12
3.2 Unge landbrugere;2024;0
3.3 Markedsstøtte;2021;..
3.3 Markedsstøtte;2022;102
3.3 Markedsstøtte;2023;89
3.3 Markedsstøtte;2024;98
3.4  Øvrig direkte støtte;2021;21
3.4  Øvrig direkte støtte;2022;21
3.4  Øvrig direkte støtte;2023;2
3.4  Øvrig direkte støtte;2024;0
4 Andre ordninger i alt;2021;1094
4 Andre ordninger i alt;2022;919
4 Andre ordninger i alt;2023;1075
4 Andre ordninger i alt;2024;1226
4.1 Natura 2000;2021;303
4.1 Natura 2000;2022;243
4.1 Natura 2000;2023;216
4.1 Natura 2000;2024;239
4.2 Målrettet regulering;2021;171
4.2 Målrettet regulering;2022;161
4.2 Målrettet regulering;2023;145
4.2 Målrettet regulering;2024;166
4.3 Økologisk arealtilskud og investeringsstøtte;2021;414
4.3 Økologisk arealtilskud og investeringsstøtte;2022;372
4.3 Økologisk arealtilskud og investeringsstøtte;2023;194
4.3 Økologisk arealtilskud og investeringsstøtte;2024;275
4.4 Vådområder;2021;37
4.4 Vådområder;2022;81
4.4 Vådområder;2023;135
4.4 Vådområder;2024;170
4.5 Etableringsstøtte til unge landbrugere;2021;..
4.5 Etableringsstøtte til unge landbrugere;2022;..
4.5 Etableringsstøtte til unge landbrugere;2023;112
4.5 Etableringsstøtte til unge landbrugere;2024;192
4.6 Miljøteknologi og moderniseringsstøtte;2021;46
4.6 Miljøteknologi og moderniseringsstøtte;2022;7
4.6 Miljøteknologi og moderniseringsstøtte;2023;66
4.6 Miljøteknologi og moderniseringsstøtte;2024;82
4.7 Privat skovrejsning;2021;46
4.7 Privat skovrejsning;2022;55
4.7 Privat skovrejsning;2023;59
4.7 Privat skovrejsning;2024;18
4.8 Øvrige tilskudsordninger;2021;78
4.8 Øvrige tilskudsordninger;2022;0
4.8 Øvrige tilskudsordninger;2023;148
4.8 Øvrige tilskudsordninger;2024;83
