kommune,url,sidetype,bekraeftet,note
Aabenraa,https://aabenraa.dk/borger/klima-natur-og-miljoe/vand/lokal-trepart-vidaa-krusaa,temaside,ja,Lokal Trepart Vidaa-Krusaa; Aabenraa er formands-/sekretariatskommune
Aalborg,https://www.aalborg.dk/politik-og-indflydelse/raad-naevn-og-andre-udvalg/raad/lokal-trepart-limfjorden,temaside,ja,Officiel raadsside for Lokal Trepart Limfjorden
Aarhus,https://aarhus.dk/demokrati/politikker-og-planer/natur-og-miljoe/lokal-groen-trepart-aarhus-bugt,temaside,ja,Lokal Groen Trepart Aarhus Bugt
Albertslund,https://albertslund.dk/nyheder/2025-26/groen-trepart,enkelt nyhed,ja,Ingen temaside; medlem af Groen Trepart Koege Bugt (samleside paa koege.dk)
Alleroed,https://alleroed.dk/borger/bolig-forsyning-og-udearealer/klimaindsatser-i-alleroed-kommune/arealanvendelse/groen-trepart,temaside,ja,Temaside Groen Trepart
Assens,https://www.assens.dk/om-os/udvikling-og-strategi/groen-trepart,temaside,ja,Samleside med flere undersider (Lillebaelt/Fyn, Odense Fjord, Assensmodellen)
Ballerup,,ingen,nej,Ingen dedikeret side; kun nyhed om naturplan
Billund,https://www.billund.dk/borger/klima-og-miljoe/den-groenne-trepart/,temaside,ja,Med i tre lokale treparter (Ringkoebing Fjord, Vadehavet, Lillebaelt)
Bornholm,https://bornholm.dk/politik-demokrati-og-indflydelse/udviklingsprojekter/groen-trepart,temaside,ja,Groen Trepart Bornholm; flyttet fra brk.dk til bornholm.dk
Broendby,,ingen,nej,Ingen dedikeret side; medlem af Groen Trepart Koege Bugt
Broenderslev,https://www.bronderslev.dk/borger/natur-miljoe-og-klima/klima-og-energi/groen-trepart,temaside,ja,Med i Limfjorden + Nordlige Kattegat/Skagerrak
Dragoer,https://www.dragoer.dk/by-og-bolig/klima-og-miljoe/groen-trepart,temaside,ja,Deltager i OEresund + Koege Bugt
Egedal,https://egedalkommune.dk/om-kommunen/groen-kommune/groen-trepart-2/groen-trepart,temaside,ja,Omfattende temaside med omlaegningsplan og tidslinje
Esbjerg,https://www.esbjerg.dk/energi-og-miljoe/vand/vandloeb-soeer-og-vaadomraader/groen-trepart,temaside,ja,Lokal Trepart Esbjerg
Fanoe,https://fanoe.dk/kommunen/projekter/groen-trepart-paa-fanoe,projektside,ja,Groen Trepart paa Fanoe under kommunens projekter
Favrskov,https://favrskov.dk/en/node/2834,temaside,ja,Medlem af Lokal Groen Trepart Aarhus Bugt; node-URL (pen URL kan afvige)
Faxe,https://www.faxekommune.dk/da/borger/teknik-miljoe/groen-trepart,temaside,ja,Dedikeret temaside med undersider (3 lokale treparter)
Fredensborg,https://klimaforum.fredensborg.dk/projects/gron-trepart,projektside,ja,Projektside paa borgerdialog-platform (subdomaene); SPA
Fredericia,https://www.fredericia.dk/da/groentrepart,temaside,ja,Omlaegningsplan, FAQ, kort, lodsejerinfo
Frederiksberg,,ingen,nej,Bymaessig kommune; ingen side
Frederikshavn,https://klima.frederikshavn.dk/groen-trepart,temaside,ja,Paa klima-subdomaene; loebende maanedlig status
Frederikssund,https://www.frederikssund.dk/Borger/Natur-og-trafik/Natur/groen-trepart,temaside,ja,Med undersider (baggrund, omlaegningsplan, oekonomi, kort)
Furesoe,https://www.furesoe.dk/nyheder/natur-og-klima-udvalget-behandler-groen-omlaegningsplan-den-3-december,enkelt nyhed,ja,Ingen temaside; kun nyheder/pressemeddelelser
Faaborg-Midtfyn,https://www.fmk.dk/borger/natur-og-miljoe/natur/groen-trepart/,temaside,ja,Med undersider (lodsejer, vaadomraader/lavbund)
Gentofte,,ingen,nej,Kun omtale i Gentofte-Plan 2026 (PDF)
Gladsaxe,,ingen,nej,Kun naevnt i udvalgslister og kommuneplan-PDF
